0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Principal Data Scientist,79-131 ,4.0,Autodesk,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,79,131,105, CA,0,38,1,1,1,1,1,0,1,senior,CA
Business Data Analyst,79-131 ,3.7,Caterpillar,"Peoria, IL",10000+ employees,Company - Public,Industrial Manufacturing,79,131,105, IL,0,95,0,1,0,0,0,1,0,,IL
Purification Scientist,79-131 ,4.9,New England Biolabs,"Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,79,131,105, MA,1,46,0,0,0,0,0,0,0,,MA
Data Analyst,79-131 ,3.4,Allied Solutions,"Carmel, IN",1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,79,131,105, IN,1,19,1,1,0,0,0,1,0,,IN
"Data Engineer, Enterprise Analytics",79-131 ,3.1,Healthfirst,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,79,131,105, NY,1,27,1,1,0,0,0,0,1,,NY
Data Scientist,79-131 ,3.5,The Knot Worldwide,"Washington, DC",1001 to 5000 employees,Company - Private,Internet,79,131,105, DC,0,1,1,0,0,1,1,0,0,,MD
Data Scientist,79-131 ,2.9,IFG Companies,"New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,79,131,105, NY,0,35,1,0,0,0,0,0,0,,CT
Data Scientist 3 (718),79-131 ,3.3,Amyris,"Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,79,131,105, CA,1,17,1,0,0,0,1,0,0,,CA
"Real World Science, Data Scientist",79-131 ,4.0,AstraZeneca,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,79,131,105, MD,0,107,1,0,1,0,0,0,0,,
Data Scientist,79-131 ,3.6,Powertek,"Washington, DC",51 to 200 employees,Company - Private,IT Services,79,131,105, DC,0,19,0,0,0,0,0,0,0,,MD
Data Engineer,79-131 ,4.7,Object Partners,"Saint Louis, MO",51 to 200 employees,Company - Private,Consulting,79,131,105, MO,0,24,0,0,1,1,1,0,1,,MN
Data Scientist - Image and Video Analytics,79-131 ,4.9,The Mom Project,"Longmont, CO",1 to 50 employees,Company - Private,Staffing & Outsourcing,79,131,105, CO,0,4,1,0,1,1,1,0,0,,IL
Data Scientist,79-131 ,4.3,Lightspeed Systems,"Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,79,131,105, TX,1,21,1,0,0,1,1,0,0,,TX
"Data Science Manager, Payment Acceptance - USA",79-131 ,4.0,Stripe,"San Francisco, CA",1001 to 5000 employees,Company - Private,Internet,79,131,105, CA,1,10,1,0,0,0,0,0,0,,CA
Data Analyst,79-131 ,2.6,Comprehensive Healthcare,"Yakima, WA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,79,131,105, WA,1,49,0,0,0,0,0,0,0,,WA
Data Scientist / Applied Mathematician,79-131 ,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,79,131,105, CA,1,17,1,0,0,0,1,0,1,,CA
Machine Learning Engineer,79-131 ,4.8,Klaviyo,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,79,131,105, MA,1,8,1,0,0,0,0,0,0,,MA
Data Scientist,79-131 ,3.9,Mars,United States,10000+ employees,Company - Private,Food & Beverage Manufacturing,79,131,105,US,0,109,1,0,0,1,1,0,0,,VA
Patient Safety- Associate Data Scientist,79-131 ,4.0,AstraZeneca,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,79,131,105, MD,0,107,1,1,0,0,0,0,0,,
Machine Learning Engineer,79-131 ,4.4,NuWave Solutions,"Springfield, VA",51 to 200 employees,Company - Private,IT Services,79,131,105, VA,0,21,1,0,1,1,1,0,0,,VA
Senior Data Scientist,79-131 ,4.2,ManTech,"Alexandria, VA",5001 to 10000 employees,Company - Public,Research & Development,79,131,105, VA,0,52,1,0,1,1,0,1,1,senior,VA
Data Scientist,99-132 ,3.4,Mathematica Policy Research,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,99,132,115, DC,0,34,1,1,0,0,1,0,0,,NJ
Staff Data Scientist - Analytics,99-132 ,4.4,Intuit - Data,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,99,132,115, CA,0,37,0,0,0,0,0,0,0,,CA
Data Analytics Engineer,99-132 ,3.5,QOMPLX,"Reston, VA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,99,132,115, VA,1,5,1,0,0,1,0,0,0,,VA
"Data Scientist, Kinship - NYC/Portland",99-132 ,3.9,Mars,"New York, NY",10000+ employees,Company - Private,Food & Beverage Manufacturing,99,132,115, NY,0,109,1,0,0,1,0,0,0,,VA
Senior Data Scientist,99-132 ,3.8,GutCheck,"Denver, CO",51 to 200 employees,Company - Private,Advertising & Marketing,99,132,115, CO,1,11,0,0,0,0,0,0,0,senior,CO
Applied Technology Researcher / Data Scientist,99-132 ,3.5,Inter-American Development Bank,"Washington, DC",1001 to 5000 employees,Other Organization,Banks & Credit Unions,99,132,115, DC,1,61,0,1,0,0,0,1,0,,DC
Machine Learning Engineer,99-132 ,4.4,Stratagem Group,"Aurora, CO",1 to 50 employees,Company - Private,Aerospace & Defense,99,132,115, CO,1,13,1,1,1,1,1,0,0,,CO
